Cement, BlastFurnaceSlag, FlyAsh, Water, Superplasticizer, CoarseAggregate, FineAggregate, Age,ConcreteCompressiveStrength
0.3059360730593607,0.4368391836979274,0.0,0.5607028648730719,0.0,0.4988371395348836,0.3891118548386465,0.2445054945054945,0.5662140293064415
0.3378995433789954,0.0,0.4782608402320587,0.5591054447069995,0.16459626818024012,0.4299419302325582,0.6603111586740287,0.1510989010989011,0.464806277932136
0.2511415525114155,0.0,0.6236881522132488,0.2971245837969149,0.2422360173218628,0.8267442558139536,0.5155544715838116,0.07417582417582418,0.45060422201580225
0.7431506849315068,0.13216472118249395,0.0,0.848242807865243,0.0,0.3808139534883721,0.0,0.49175824175824173,0.49221379076152466
0.3107306073059361,0.0,0.4702648434703195,0.5183705715264514,0.21739129759654355,0.4328489069767443,0.6347215635557389,0.1510989010989011,0.46418339265437636
0.5273972602739726,0.0,0.0,0.5607028648730719,0.0,0.37848840697674424,0.6236828674570718,0.2445054945054945,0.49022051800723854
0.07534246575342465,0.2921535941928814,0.9645177122083645,0.5926517474277575,0.18633539793989448,0.47674418604651164,0.12293026329735655,0.07417582417582418,0.24392675330576186
0.1527397123287671,0.1174179234961256,0.6211894016634862,0.2915335533115069,0.3354037162918101,0.8133722354651162,0.5072755247732379,0.27197802197802196,0.5708235099245923
0.5949771826484018,0.5258764695471865,0.0,0.3442491376417524,0.3602484360171293,0.4177325930232559,0.40592071686426795,0.005494505494505495,0.41073875447212543
0.9801369589041096,0.0,0.0,0.15974441277342843,0.8757764013734037,0.14854644186046503,0.7518816609261413,0.1510989010989011,0.7035006902578969
0.8515981735159818,0.0,0.0,0.848242807865243,0.0,0.3808139534883721,0.0,0.2445054945054945,0.497072393100097
0.2205479589041096,0.36839175350681835,0.0,0.5607028648730719,0.0,0.5156977441860466,0.5807827745579193,0.2445054945054945,0.4452473014886583
0.502283105022831,0.0,0.0,0.6485622918984575,0.0,0.502906976744186,0.5168088620256215,0.03571428571428571,0.22972468493147338
0.2025114086757991,0.0,0.6266866478754628,0.32188501570012024,0.2422360173218628,0.8401162790697675,0.5268439855600995,0.1510989010989011,0.41123708511865176
0.8881278538812786,0.072342794752523,0.6146926352416001,0.7044728363691574,0.1211180086609314,0.23546511627906977,0.26342199278004974,0.005494505494505495,0.29002119820658273
0.365296803652968,0.30884808528961744,0.4297850945591676,0.5846645267890861,0.1552794982832454,0.27325581395348836,0.3487205428231135,0.07417582417582418,0.39105521093945966
0.4155251141552511,0.33388982193472155,0.0,0.3690095695449577,0.21739129759654355,0.49127906976744184,0.5017561767239043,0.07417582417582418,0.4808770519715224
0.2237442922374429,0.37006121931098307,0.0,0.5607028648730719,0.0,0.477907046511628,0.5323633336094331,0.005494505494505495,0.11311822880573635
0.7351598173515982,0.06121313402136562,0.6596701451373269,0.44888177593167194,0.26397514708151715,0.23546511627906977,0.39136981784464536,0.005494505494505495,0.3697520710041628
0.09908674429223742,0.0,0.8940529167200524,0.6381788811065227,0.2422360173218628,0.06686046511627906,0.6891621388356532,0.07417582417582418,0.10227980820430566
0.5796803515981735,0.0,0.7076461856777756,0.5710862756650066,0.34161489622313984,0.0011628604651163672,0.46261925515018104,0.07417582417582418,0.4801295622307104
0.6506849315068494,0.05564830365578693,0.4697651033553692,0.2811501425195721,0.3602484360171293,0.39825581395348836,0.6297040017885,0.1510989010989011,0.7366388497979034
0.2009132420091324,0.5286588847299758,0.0,0.848242807865243,0.0,0.3808139534883721,0.19066734715508363,1.0,0.6398405416678844
0.45662100456621,0.0,0.0,0.6485622918984575,0.0,0.502906976744186,0.5594581370471533,0.03571428571428571,0.196835672027798
