,Cement, BlastFurnaceSlag, FlyAsh, Water, Superplasticizer, CoarseAggregate, FineAggregate, Age,ConcreteCompressiveStrength
105,0.1506849315068493,0.11713967363060111,0.8185906950947318,0.0,0.17701862804289975,0.7491277645348838,0.46688406223085166,0.03571428571428571,0.19297371852432338
563,0.09543379680365298,0.3792431977614335,0.5307346017770733,0.449680545918863,0.23291924742486808,0.40843023255813954,0.4523331632112291,0.07417582417582418,0.2967484812943436
309,0.3383561575342466,0.46410686083650854,0.0,0.6525559022177931,0.0,0.5133720232558139,0.25112890623957285,0.005494505494505495,0.09218886488573227
379,0.3305936141552511,0.0,0.6251873775556008,0.17172524373143555,0.37267079587978896,0.8308140959302324,0.5190668250316203,0.07417582417582418,0.6250155880158362
303,0.4748858447488584,0.0,0.0,0.5607028648730719,0.0,0.6133720930232558,0.5920722885342071,0.2445054945054945,0.41646940118274334
790,0.6543379132420092,0.27017250868401516,0.0,0.2883385931710525,0.37577638584545386,0.14854644186046503,0.8321626492019659,0.07417582417582418,0.6025912819880723
592,0.14840182648401826,0.2097941103471471,0.8345826836207091,0.33706068699027203,0.24534160728752774,0.5997092674418604,0.44179625339465645,0.1510989010989011,0.6369752120835982
11,0.639269406392694,0.0,0.0,0.5127795410410433,0.0,0.7151162790697675,0.36377322812483065,0.016483516483516484,0.26996387865862415
905,0.8515981735159818,0.0,0.0,0.848242807865243,0.0,0.3808139534883721,0.0,0.739010989010989,0.49582661008662293
723,0.6216894703196346,0.0,0.0,0.5463258437618014,0.20807452769954884,0.6168605,0.34219777273644403,0.07417582417582418,0.4575806891137583
501,0.6210045662100456,0.5264329442364988,0.0,0.3857827808094916,0.3136645865321557,0.3636627209302325,0.4081786798702668,0.005494505494505495,0.39952663260313026
802,0.2550228242009132,0.0,0.8730634270945499,0.2635782810761569,0.3167701764978206,0.7340116279069767,0.457601693382942,0.1510989010989011,0.5520119609321531
912,0.39977170319634703,0.0,0.4867566170887571,0.3099041847421131,0.36645961594845916,0.5026163488372094,0.7064726366165159,0.1510989010989011,0.6068269865909303
642,0.863013698630137,0.0,0.0,0.5607028648730719,0.0,0.39302329069767444,0.2965379305491981,0.2445054945054945,0.6476890655958407
874,1.0,0.0,0.0,0.40894567273831484,0.0,0.9418604651162791,0.04766683678877091,0.07417582417582418,0.8095178724185342
79,0.58675799086758,0.052865888472997585,0.7046476550330538,0.2571884806035578,0.338509306257475,0.40988372093023256,0.519317642909241,0.07417582417582418,0.7550766227750498
651,0.2922374429223744,0.0,0.5912043950663349,0.5886581371084219,0.14285713842058576,0.6639535581395349,0.412945273233032,0.07417582417582418,0.2759436969214824
924,0.5949771826484018,0.5258764695471865,0.0,0.3442491376417524,0.3602484360171293,0.4177325930232559,0.40592071686426795,0.1510989010989011,0.9339729023040465
16,0.1187214611872146,0.4006677863216659,0.5597201231468228,0.7843450427558716,0.3105589965664908,0.3546511627906977,0.1605619765516494,0.07417582417582418,0.176529218301463
459,0.5415525388127854,0.0,0.0,0.51038335088778,0.0,0.7796510203488374,0.40215754553883865,0.016483516483516484,0.23483244636433157
113,0.5,0.0,0.6396801407392262,0.48083065848635764,0.34161489622313984,0.2005813953488372,0.466633244353231,0.07417582417582418,0.4351563332541755
435,0.3107306073059361,0.0,0.4702648434703195,0.5183705715264514,0.21739129759654355,0.4328489069767443,0.6347215635557389,0.005494505494505495,0.21926000297147138
547,0.4611872146118721,0.21146355389199034,0.0,0.848242807865243,0.0,0.3808139534883721,0.19066734715508363,0.49175824175824173,0.6057057706666443
123,0.8881278538812786,0.072342794752523,0.6146926352416001,0.7044728363691574,0.1211180086609314,0.23546511627906977,0.26342199278004974,0.005494505494505495,0.29002119820658273
821,0.2552511484018265,0.27295492386680453,0.12243877693836751,0.4784344683330942,0.20807452769954884,0.7703488372093024,0.48043153921313836,0.03571428571428571,0.19322287761860912
246,0.42077622831050226,0.5589871935278886,0.0,0.18290730470225167,0.34782607615446964,0.5918603953488372,0.5260913814003844,0.005494505494505495,0.2749470605443394
766,0.1292237579908676,0.41430160402284255,0.5797101275449237,0.4257188840028487,0.46583849484973616,0.4427325232558139,0.3153537871763445,0.07417582417582418,0.3158091520072045
472,0.44794523287671234,0.0,0.5347326176491969,0.702076646215894,0.34472048618880474,0.22848830232558132,0.3768189188250228,0.07417582417582418,0.36813254934926
202,0.3899543105022831,0.5061213050548911,0.0,0.51038335088778,0.0,0.6145349534883722,0.3018063101940578,0.016483516483516484,0.21726673021718523
266,0.3504566210045662,0.4738453139762713,0.0,0.51038335088778,0.0,0.6558138837209302,0.326894119030253,0.016483516483516484,0.18574810479003623
907,0.5799086757990868,0.0,0.709645156132579,0.5686900855117433,0.34161489622313984,0.0,0.46161568258599195,0.07417582417582418,0.4801295622307104
453,0.3424657534246575,0.0,0.0,0.5047923204023719,0.0,0.9011627906976745,0.4766683678877091,0.07417582417582418,0.21627010629799687
998,0.07077625570776255,0.5564830365578692,0.0,0.5607028648730719,0.0,0.3674419302325582,0.6151531027688774,0.07417582417582418,0.3181761758608739
718,0.12557077625570776,0.6566499831382858,0.0,0.5607028648730719,0.0,0.3906977441860466,0.4696438115189451,0.2445054945054945,0.5113990534794831
603,0.3378995433789954,0.0,0.4782608402320587,0.5591054447069995,0.16459626818024012,0.4299419302325582,0.6603111586740287,0.03571428571428571,0.2781861287700543
172,0.0958904109589041,0.4730105810741889,0.6646676462368521,0.5607028648730719,0.24844719725319264,0.0377906976744186,0.5293527664437191,0.07417582417582418,0.3430920852894502
282,0.6506849315068494,0.05564830365578693,0.4697651033553692,0.2811501425195721,0.44409936509008185,0.39825581395348836,0.6297040017885,0.1510989010989011,0.6728541341187028
534,0.7374429223744292,0.2957707422777531,0.0,0.2531948702842221,0.5124223443347098,0.14854644186046503,0.7353236167781405,0.005494505494505495,0.38706867788884214
768,0.2963470388127854,0.0,0.6076961237072627,0.41693289337698625,0.20807452769954884,0.7424419302325582,0.4628700730278017,0.03571428571428571,0.30447241321720225
469,0.5228310502283106,0.0,0.0,0.5607028648730719,0.0,0.5145348837209303,0.5795283841161095,0.016483516483516484,0.17353930917003388
747,0.6573059223744292,0.5258764695471865,0.0,0.19249194550699542,0.6832297924462797,0.4177325930232559,0.40592071686426795,0.07417582417582418,0.8990905917301755
605,0.488812799086758,0.5862548706664698,0.0,0.51038335088778,0.0,0.5116279069767442,0.23908678810356976,0.016483516483516484,0.2754453911908656
102,0.2015981803652968,0.0,0.6256871226680523,0.3202874757257382,0.3074534066008259,0.834592953488372,0.523331632112291,0.1510989010989011,0.45135171175661426
253,0.2015981803652968,0.0,0.6256871226680523,0.3202874757257382,0.3074534066008259,0.834592953488372,0.523331632112291,0.07417582417582418,0.32565092377353744
854,0.3627853744292237,0.27963272587032934,0.3913043510853268,0.62939301028897,0.26708073704718205,0.18459302325581395,0.4202207980062699,0.07417582417582418,0.37461072317455396
442,0.14383561643835616,0.0,0.717641187876826,0.3354632668241997,0.0,0.5947673720930232,0.7699449133935724,0.27197802197802196,0.443876914012132
341,0.502283105022831,0.0,0.0,0.6485622918984575,0.0,0.502906976744186,0.5168088620256215,0.07417582417582418,0.28466426522148414
87,0.7374429223744292,0.2957707422777531,0.0,0.23642165901968823,0.5776397336136729,0.39244186046511625,0.5260913814003844,0.24725274725274726,0.8019185075848637
170,0.4429223744292237,0.0,0.0,0.5127795410410433,0.0,0.8401162790697675,0.4390366546334163,0.07417582417582418,0.28466426522148414
146,0.634703196347032,0.2643294423649879,0.0,0.848242807865243,0.0,0.3808139534883721,0.0,0.2445054945054945,0.4762676211851905
273,0.1232876712328767,0.6761268894178112,0.0,0.46485621720901477,0.34161489622313984,0.6424418604651163,0.26091321189643024,0.07417582417582418,0.4364021660994684
843,0.2116438287671233,0.0,0.502248860502283,0.3865814309883729,0.23291924742486808,0.5726744186046512,0.7722027258727181,0.1510989010989011,0.5115236081107166
602,0.7351598173515982,0.06121313402136562,0.6596701451373269,0.3690095695449577,0.2763975069441768,0.061046511627906974,0.39136981784464536,0.07417582417582418,0.8691914754999744
509,0.6232876712328768,0.2609905524928863,0.0,0.038338619129519594,0.7267080519655884,0.14854644186046503,1.0,0.24725274725274726,0.7495951351587177
1016,0.3082191780821918,0.2559821968166199,0.3548225780662895,1.0,0.18633539793989448,0.1511627906976744,0.2533868692455717,0.07417582417582418,0.3276441965278235
176,0.6232876712328768,0.2609905524928863,0.0,0.038338619129519594,0.7267080519655884,0.14854644186046503,1.0,0.07417582417582418,0.6773390102738012
231,0.136986301369863,0.5289371429427459,0.7401299428246894,0.455271576404271,0.583850882489103,0.10784876744186038,0.36979436245625874,0.07417582417582418,0.39155349175416704
687,0.3009132488584475,0.0,0.4727635940200821,0.6078274187179094,0.14285713842058576,0.42441860465116277,0.6477672542559311,0.07417582417582418,0.25551265119004984
449,0.541095890410959,0.0,0.0,0.5047923204023719,0.0,0.7790697674418605,0.40140494137912347,0.07417582417582418,0.36763424361864316
141,0.500684904109589,0.4568725646667651,0.0,0.5487220339150647,0.14285713842058576,0.2005813953488372,0.4515805590515139,0.07417582417582418,0.6838171467252311
256,0.4748858447488584,0.0,0.0,0.5607028648730719,0.0,0.49127906976744184,0.6422479062065976,0.07417582417582418,0.31879906113863365
126,0.2205479589041096,0.36839175350681835,0.0,0.5607028648730719,0.0,0.5156977441860466,0.5807827745579193,0.016483516483516484,0.15335742253288706
364,0.34109587671232877,0.0,0.5912043950663349,0.5678913155245522,0.18012421800856465,0.705232488372093,0.40215754553883865,0.03571428571428571,0.22922636674290187
554,0.7351598173515982,0.06121313402136562,0.6596701451373269,0.44888177593167194,0.26397514708151715,0.23546511627906977,0.39136981784464536,0.005494505494505495,0.3697520710041628
348,0.4815068356164383,0.4465776368376901,0.0,0.44568693559952727,0.29813663670383117,0.336046441860465,0.4152032362390308,0.07417582417582418,0.6243927027380766
720,0.3378995433789954,0.0,0.4782608402320587,0.5239616020118594,0.17080744811156992,0.4531977441860466,0.6703462822085068,0.03571428571428571,0.28142519699576923
945,0.182648401826484,0.12576516904449364,0.6096951341420749,0.3865814309883729,0.25465837718452244,0.7511628604651164,0.4683894210771353,0.07417582417582418,0.3605332094314989
618,0.18242007762557075,0.7590428284759515,0.0,0.51038335088778,0.0,0.6145349534883722,0.3018063101940578,0.016483516483516484,0.12507786533145296
904,0.09497718264840184,0.0,0.8740629123219515,0.2923322034903882,0.5559006038540185,0.4119186395348838,0.6284496113466902,0.07417582417582418,0.16307462721003183
414,0.2748858310502283,0.0,0.4832583413315839,0.5391373931103209,0.13975154845492085,0.4828487674418604,0.6931761280387032,0.27197802197802196,0.47813628947642434
612,0.12557077625570776,0.6566499831382858,0.0,0.5607028648730719,0.0,0.3906977441860466,0.4696438115189451,0.07417582417582418,0.3903077211986476
155,0.3436073059360731,0.0,0.0,0.51038335088778,0.0,0.9029069069767441,0.4774209720474243,0.016483516483516484,0.11399028563573653
